goos: linux
goarch: amd64
pkg: github.com/zchee/gows/bench
cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz
BenchmarkMaskGWS/16KB-20            	 2477636	       484.4 ns/op	33826.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-20            	 2476681	       484.3 ns/op	33831.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-20            	 2478168	       484.1 ns/op	33840.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-20            	 2479290	       484.0 ns/op	33852.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-20            	 2479282	       483.9 ns/op	33856.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-20            	  559982	      2139 ns/op	30641.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-20            	  560781	      2137 ns/op	30666.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-20            	  558744	      2139 ns/op	30632.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-20            	  559677	      2139 ns/op	30631.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-20            	  559668	      2140 ns/op	30621.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-20            	  560318	      2134 ns/op	30717.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-20            	  563272	      2137 ns/op	30665.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-20            	  563545	      2127 ns/op	30805.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-20            	  563415	      2128 ns/op	30793.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-20            	  561898	      2136 ns/op	30677.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-20          	138761385	         8.637 ns/op	7410.35 MB/s	       0 B/op	       0 allocs/op
